iter	MultiClass
0	1.093365824
1	1.091176548
2	1.086296003
3	1.081276993
4	1.076462033
5	1.07083463
6	1.067232421
7	1.062449633
8	1.057986482
9	1.054191831
10	1.050862828
11	1.046616115
12	1.042653828
13	1.03852007
14	1.035027613
15	1.029811226
16	1.026290687
17	1.022695855
18	1.020824063
19	1.017222462
20	1.014178082
21	1.011159314
22	1.007395393
23	1.002588162
24	0.9989455813
25	0.9953039631
26	0.99247099
27	0.9888397434
28	0.9868257632
29	0.9840818247
30	0.9810137022
31	0.9781264049
32	0.9743880245
33	0.9707921834
34	0.9675333722
35	0.9636334672
36	0.9605111182
37	0.9581901177
38	0.9543880261
39	0.9519335721
40	0.9500773915
41	0.947031016
42	0.944609993
43	0.9421220033
44	0.9409397604
45	0.937530297
46	0.9345083462
47	0.9323882099
48	0.9298550114
49	0.9270290053
50	0.9248850781
51	0.9231229686
52	0.920533701
53	0.9188370663
54	0.9160727954
55	0.9142117661
56	0.9119932229
57	0.9102126628
58	0.9080210143
59	0.9050479815
60	0.9026558757
61	0.8994151425
62	0.8973925087
63	0.8945715113
64	0.892922711
65	0.8910817619
66	0.8892525878
67	0.8862583452
68	0.8844100921
69	0.883236883
70	0.8817959537
71	0.8798342203
72	0.8775325725
73	0.8754318799
74	0.8742822715
75	0.8727329475
76	0.8709930591
77	0.8695098794
78	0.866835392
79	0.8644971028
80	0.861378822
81	0.8589544704
82	0.8575818654
83	0.8547868423
84	0.8521780217
85	0.8506767441
86	0.8492550176
87	0.8467563778
88	0.8445524526
89	0.8416959191
90	0.839239963
91	0.838545068
92	0.8361720575
93	0.8336790339
94	0.8318275055
95	0.8295568468
96	0.8266597621
97	0.8249178454
98	0.8231272709
99	0.8206498295
