iter	Passed	Remaining
0	9	975
1	16	801
2	24	791
3	31	746
4	39	754
5	49	772
6	62	832
7	77	888
8	90	919
9	97	880
10	107	872
11	114	841
12	123	823
13	130	800
14	140	795
15	147	774
16	163	796
17	173	791
18	181	772
19	191	766
20	198	748
21	208	739
22	216	723
23	224	712
24	232	698
25	241	686
26	248	672
27	258	663
28	265	650
29	277	646
30	287	640
31	295	627
32	305	620
33	313	608
34	324	603
35	336	598
36	346	589
37	356	581
38	364	570
39	375	563
40	385	555
41	393	543
42	403	535
43	411	523
44	428	523
45	438	514
46	447	505
47	455	493
48	465	484
49	472	472
50	482	463
51	492	454
52	502	445
53	510	435
54	518	424
55	526	413
56	535	403
57	542	393
58	552	383
59	560	373
60	570	364
61	580	355
62	590	347
63	601	338
64	609	327
65	620	319
66	630	310
67	639	300
68	649	291
69	657	281
70	666	272
71	674	262
72	682	252
73	690	242
74	701	233
75	711	224
76	718	214
77	728	205
78	736	195
79	746	186
80	753	176
81	763	167
82	771	158
83	780	148
84	788	139
85	799	130
86	807	120
87	815	111
88	826	102
89	837	93
90	846	83
91	854	74
92	862	64
93	871	55
94	879	46
95	888	37
96	896	27
97	905	18
98	915	9
99	924	0
