Model,R²,MAE,MSE,RMSE
XGBoost (Tuned),0.6327448487281799,48.779457092285156,23030.439453125,151.75783160392416
RandomForest (Tuned Alt),0.624280705464555,44.20427171073187,16963.966507383346,130.24579266672436
LightGBM (Tuned),0.5888633511698926,46.292010399134334,15862.659243215887,125.94704936288062
LightGBM (Baseline),0.5691391730827514,46.417349139122805,15801.561529305432,125.70426217636947
CatBoost (Tuned),0.5592038085785542,52.9196888681922,20642.482374016832,143.67491908477567
XGBoost (Baseline),0.5572465062141418,54.54655456542969,22939.18359375,151.45687040788212
CatBoost (Baseline),0.5223821256750278,54.52826064854639,20521.711741001724,143.25401125623577
Baseline RF (Tuned),0.48545782441176066,57.32787013364161,19014.200267665357,137.89198768480117
Decision Tree (Tuned),0.46146979861853304,62.09427194018102,35572.640224156385,188.60710544450967
Decision Tree (Baseline),0.06943664997248636,71.82991735537192,46891.709626446296,216.54493673703456
