FieldID,Region,FieldArea_ha,Soil_pH,Temperature_C,Humidity_%,Rainfall_mm,PloughDepth_cm,PloughMethod,SoilAdjustment_kgLime,IrrigationAdvice,SeedAmount_kg,PlantSpacing_cm,Fertilizer_Basal_Urea_kg,Fertilizer_Basal_TSP_kg,Fertilizer_Basal_MOP_kg,WaterManagementAdvice_Stage4,TillerIncreaseTip,Fertilizer_2ndDose_Urea_kg,Fertilizer_2ndDose_TSP_kg,Fertilizer_2ndDose_MOP_kg,WaterControlAdvice_Stage5,WaterControlAdvice_Stage6,PesticideSuggestion,HumidityTarget_%,WaterLevelAdvice_Stage7,PredictedYield_kg_ha,HarvestingDate,FinalMoisture_%,PostHarvestAdvice
1,Intermediate Low,1.79,3.57,31.1,75.3,2448.8,15,Chisel,537,Irrigate weekly,103.5,22,214.8,128.88,107.4,Alternate wetting,Apply split N,85.92,51.55,42.96,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,86.2,Maintain 3-5cm,4792.3,2026-02-23,14.2,Thresh immediately
2,Dry Low,1.02,5.55,31.3,76.4,873.4,17,Mouldboard,571,Start irrigation after 3 days,53.8,19,122.4,61.2,61.2,Alternate wetting,Thin seedlings,48.96,24.48,24.48,Flood for 1 week,Ensure moist soil,Fipronil,83.3,Shallow water 3 days,5390.9,2026-02-20,14.3,Sun-dry 3 days
3,Intermediate Low,4.26,4.41,31.6,85.2,2314.9,13,Rotavator,785,Irrigate weekly,222.4,21,511.2,306.72,255.6,Keep flooded,Apply split N,204.48,122.69,102.24,Maintain 5cm water,Maintain shallow flooding,Chlorpyrifos,84.7,Maintain 3-5cm,4777.1,2026-02-21,14.8,Thresh immediately
4,Intermediate Low,3.83,6.08,29.6,76.1,1697.1,14,Rotavator,412,Start irrigation after 3 days,199.6,18,459.6,229.8,229.8,Maintain 3-5cm water,Apply split N,183.84,91.92,91.92,Maintain 5cm water,Reduce water pre-flowering,None,87.4,Alternate wetting,4897.4,2026-02-28,14.5,Thresh immediately
5,Dry Low,3.92,4.2,29.5,79.8,2488.0,12,Mouldboard,567,Start irrigation after 3 days,216.2,23,470.4,282.24,235.2,Keep flooded,Thin seedlings,188.16,112.9,94.08,Flood for 1 week,Maintain shallow flooding,Fipronil,88.7,Alternate wetting,4475.1,2026-02-24,15.8,Sun-dry 3 days
6,Dry Low,4.09,6.26,31.0,87.7,925.5,16,Chisel,529,Start irrigation after 3 days,244.4,19,490.8,245.4,245.4,Keep flooded,Apply split N,196.32,98.16,98.16,Maintain 5cm water,Reduce water pre-flowering,Fipronil,84.3,Maintain 3-5cm,4746.5,2026-02-25,14.5,Thresh immediately
7,Intermediate Low,1.3,5.05,30.2,75.3,1741.6,16,Chisel,483,Irrigate weekly,71.0,18,156.0,85.8,78.0,Maintain 3-5cm water,Apply split N,62.4,34.32,31.2,Reduce water 2 days,Reduce water pre-flowering,Chlorpyrifos,80.4,Maintain 3-5cm,4454.5,2026-02-27,16.0,Sun-dry 3 days
8,Wet Low,2.43,7.25,30.5,87.2,2447.8,15,Chisel,720,Start irrigation after 3 days,135.0,22,291.6,167.67,145.8,Maintain 3-5cm water,Increase spacing,116.64,67.07,58.32,Reduce water 2 days,Maintain shallow flooding,Chlorpyrifos,81.6,Shallow water 3 days,4146.4,2026-02-19,15.6,Store under shade
9,Intermediate Low,1.46,4.05,31.0,79.2,1689.3,13,Rotavator,718,Maintain 5cm water,85.6,18,175.2,105.12,87.6,Maintain 3-5cm water,Apply split N,70.08,42.05,35.04,Maintain 5cm water,Reduce water pre-flowering,Fipronil,80.2,Maintain 3-5cm,5206.9,2026-02-25,13.6,Store under shade
10,Intermediate Low,4.45,4.86,31.5,76.8,1870.0,12,Rotavator,500,Irrigate weekly,246.3,23,534.0,320.4,267.0,Alternate wetting,Thin seedlings,213.6,128.16,106.8,Flood for 1 week,Reduce water pre-flowering,None,86.5,Shallow water 3 days,5336.4,2026-02-26,15.8,Store under shade
11,Intermediate Low,3.49,3.95,28.7,85.5,1982.8,13,Rotavator,728,Irrigate weekly,180.9,19,418.8,251.28,209.4,Maintain 3-5cm water,Thin seedlings,167.52,100.51,83.76,Maintain 5cm water,Ensure moist soil,Chlorpyrifos,83.3,Shallow water 3 days,5239.0,2026-02-21,13.3,Store under shade
12,Intermediate Low,2.32,7.2,28.9,84.4,1572.7,12,Rotavator,672,Irrigate weekly,123.0,21,278.4,160.08,139.2,Keep flooded,Apply split N,111.36,64.03,55.68,Maintain 5cm water,Reduce water pre-flowering,Chlorpyrifos,85.4,Alternate wetting,4927.0,2026-02-22,15.5,Thresh immediately
13,Dry Low,1.25,7.01,27.5,88.2,1866.8,15,Chisel,664,Irrigate weekly,66.4,24,150.0,86.25,75.0,Maintain 3-5cm water,Increase spacing,60.0,34.5,30.0,Flood for 1 week,Reduce water pre-flowering,Chlorpyrifos,84.9,Alternate wetting,4759.6,2026-02-28,14.1,Sun-dry 3 days
14,Intermediate Low,2.24,4.53,29.9,86.0,1793.3,15,Mouldboard,798,Maintain 5cm water,120.9,22,268.8,161.28,134.4,Keep flooded,Increase spacing,107.52,64.51,53.76,Flood for 1 week,Reduce water pre-flowering,Fipronil,80.8,Alternate wetting,5726.7,2026-02-24,15.6,Sun-dry 3 days
15,Wet Low,2.3,6.14,27.2,87.1,2332.0,16,Rotavator,437,Irrigate weekly,124.8,19,276.0,138.0,138.0,Alternate wetting,Apply split N,110.4,55.2,55.2,Reduce water 2 days,Ensure moist soil,Fipronil,84.0,Alternate wetting,5038.2,2026-02-28,15.6,Sun-dry 3 days
16,Dry Low,3.92,6.77,29.3,79.2,877.3,13,Rotavator,493,Irrigate weekly,227.4,23,470.4,235.2,235.2,Keep flooded,Apply split N,188.16,94.08,94.08,Flood for 1 week,Maintain shallow flooding,Fipronil,82.2,Maintain 3-5cm,4958.4,2026-02-25,15.4,Store under shade
17,Wet Low,3.55,5.72,29.7,77.7,1277.6,17,Chisel,494,Start irrigation after 3 days,189.9,22,426.0,213.0,213.0,Keep flooded,Thin seedlings,170.4,85.2,85.2,Reduce water 2 days,Ensure moist soil,Fipronil,84.2,Alternate wetting,4051.3,2026-02-22,15.4,Store under shade
18,Wet Low,4.55,5.62,28.4,86.3,2415.7,16,Mouldboard,704,Irrigate weekly,248.8,20,546.0,273.0,273.0,Maintain 3-5cm water,Apply split N,218.4,109.2,109.2,Flood for 1 week,Ensure moist soil,None,82.0,Maintain 3-5cm,4682.5,2026-02-26,13.9,Sun-dry 3 days
19,Wet Low,2.89,4.47,30.0,87.1,2313.4,13,Mouldboard,468,Maintain 5cm water,162.6,18,346.8,208.08,173.4,Maintain 3-5cm water,Increase spacing,138.72,83.23,69.36,Maintain 5cm water,Maintain shallow flooding,None,88.4,Alternate wetting,4760.4,2026-02-23,13.2,Store under shade
20,Wet Low,1.48,3.87,27.2,89.9,1574.6,16,Chisel,717,Maintain 5cm water,79.6,24,177.6,106.56,88.8,Keep flooded,Apply split N,71.04,42.62,35.52,Reduce water 2 days,Ensure moist soil,Fipronil,81.7,Maintain 3-5cm,4797.6,2026-02-19,14.2,Sun-dry 3 days
